"finding_id","evaluator(s)","merged_from","merged_finding_ids","artefact","doc_type","engagement_type","section_ref","severity","category","title","evidence_quote_or_observation","expected","framework_refs","recommendation_text","effort","owner_hint","confidence"
"tdora-physoc-002","engagement-lifecycle-review; tiber-dora-alignment","engagement-lifecycle-review; tiber-dora-alignment","lifecycle-physoc-004; lifecycle-physoc-014; lifecycle-physoc-016; tdora-physoc-002","inputs/Physical & Social/PhysicalSocial_Process_v1.0.docx","engagement-sop","cross-cutting","document-wide","critical","completeness-gap","All four TIBER-EU phases are absent for the physical leg","The Physical Pentest pipeline is Planning -> Weaponization -> Execution (Recon / Exploit / Escalation) -> Report. There is no Generic Threat Landscape consumption, no Targeted Threat Intelligence (TTI) report driving the pretexts and objectives, no replay / 360 feedback / attestation / knowledge sharing in Closure.","When the assessment is run under TLPT, physical scenarios are derived from TTI, executed under control-team oversight, and closed with replay and attestation - mirroring the four TIBER-EU phases (Preparation, Threat Intelligence, Red Team Test, Closure).","PTES:PTES Reporting / Post-Engagement; NIST-800-115:NIST SP 800-115 §6 Post-Testing Activities; PTES:PTES Post-Engagement; TIBER-EU:TIBER-EU v2 four-phase structure (Preparation, Threat Intelligence, Red Team Test, Closure); DORA-TLPT:DORA Art.26 - advanced testing of ICT tools, systems and processes","Add a TLPT-mode addendum that maps each Physical Pentest stage to the TIBER-EU phases: TTI-derived pretexts and objectives, control-team-supervised execution, replay-and-attestation closure. Keep the internal Maturity flow as the non-TLPT path.","L","Red team lead + TI lead","medium"
"lifecycle-threatscenarios-003","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-threatscenarios-003","inputs/Engagements/0. Threat Scenarios/ThreatScenarios_Process_v1.1.docx","engagement-sop","threat-scenario","Planning","high","completeness-gap","Planning is red-team-only; Threat Scenarios require joint planning with the blue team","'This phase usually begins with a brainstorming session among the operators to discuss all possible scenarios, evaluate the targets features and possible abuse cases.' The blue team / SOC / defenders are not listed as participants in any planning step.","A 'Joint planning with blue team' step inside Planning — the defining feature of the Threat Scenario engagement type per Euronext's taxonomy (assumed-breach with blue team in the room).","PTES:PTES Pre-engagement Interactions","Restructure Planning so that, after the red team's internal brainstorm, a mandatory joint planning workshop is held with the SOC / blue team and the system owner to agree scenarios, success criteria and the demonstration format. Document attendees and outputs.","S","Red team lead with SOC/Blue team","high"
"lifecycle-threatscenarios-004","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-threatscenarios-004; lifecycle-threatscenarios-005; lifecycle-threatscenarios-006","inputs/Engagements/0. Threat Scenarios/ThreatScenarios_Process_v1.1.docx","engagement-sop","threat-scenario","(absent)","high","completeness-gap","No threat-hunt handover from Threat Scenario findings to the hunt team","<missing> — the document has no section on threat hunting, hunt hypotheses, or handover to the hunt team. OPLOGS are described only as a record for 'final report', 'incident response and forensic investigations' and 'training', not as input to a structured hunt.","A handover step where each successful (and unsuccessful-but-instructive) scenario is converted into one or more hunt hypotheses with target data sources, queries / detections to build, and an owner.","PTES:PTES Reporting — defensive remediation and detection guidance; PTES:PTES Reporting — remediation roadmap; NIST-800-115:NIST SP 800-115 §8 — Post-testing activities (remediation); PTES:PTES Reporting — internal knowledge transfer","Add a 'Threat-hunt handover' subsection (after Purple-team close-out) describing how scenario outcomes translate into hunt hypotheses, what data sources are required, who owns each hunt, and how completed hunts feed back into the engagement record.","M","Red team lead with Threat hunt","high"
"lifecycle-threatscenarios-007","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-threatscenarios-007","inputs/Engagements/0. Threat Scenarios/ThreatScenarios_Process_v1.1.docx","engagement-sop","threat-scenario","(absent)","high","scope-gap","Physical scope is not addressed — neither in-scope nor explicitly out-of-scope","<missing> — the document references 'critical company tool, application or process' and 'internal tools' but never mentions physical access, badge cloning, tailgating, on-prem datacentre access, or any other physical attack vector. There is no explicit out-of-scope statement either.","An explicit statement that physical attack paths are either in scope (with the safety controls that follow) or out of scope, with a one-line rationale, so a Threat Scenario covering, for example, badge issuance or visitor management is not implicitly excluded.","OSSTMM:OSSTMM Physical Security Channel (Cited from memory.)","In the Scope subsection, add a one-line statement on physical scope: by default out-of-scope for tool-focused Threat Scenarios, but explicitly in-scope when the scenario subject is a physical control (e.g. badge system, datacentre access, visitor flow).","S","Red team lead","medium"
"lifecycle-threatscenarios-010","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-threatscenarios-010","inputs/Engagements/0. Threat Scenarios/ThreatScenarios_Process_v1.1.docx","engagement-sop","threat-scenario","Execution","high","safety-or-opsec","Blast-radius / safety controls for production tool abuse are vague","'In all steps of this phase, the operators should keep in mind the scope and restrictions defined, in order to not cause unwanted damage to normal company operations.' and 'Before starting this phase, it's important to have a peer review of the scenarios outlined on the previous phase. This is used to understand if the scenarios make sense in the business context and if they can cause damage to regular business operations.' Both rely on operator judgement; there are no concrete blast-radius controls (test accounts, sandboxed projects, time windows, change-window coordination, rollback plan).","Concrete safety controls for Threat Scenarios that touch production internal tools (GitLab, Jenkins, CI/CD, ticketing, secret stores): test accounts/projects, agreed time windows, change-management coordination, rollback plan, and named on-call contact who can pause execution.","PTES:PTES Pre-engagement Interactions — engagement disruption avoidance; NIST-800-115:NIST SP 800-115 §3.2 — Test logistics and safeguards","Add a 'Safety controls' subsection in Execution listing: dedicated test accounts/projects where possible, agreed execution windows, the change-management coordination point, a rollback plan and a named on-call contact authorised to pause/abort.","M","Red team lead with system owner","high"
"tdora-threatscenarios-002","tiber-dora-alignment","tiber-dora-alignment","tdora-threatscenarios-002","inputs/Engagements/0. Threat Scenarios/ThreatScenarios_Process_v1.1.docx","engagement-sop","threat-scenario","Introduction / Whole document","high","regulatory-misalignment","Document does not state that Threat Scenarios are not TLPT, leaving a misalignment risk if cited as DORA evidence","'This document describes the Red Team methodology that all Red Team members should adhere to when performing a Threat Scenario against a critical company tool, application or process.' — the phrase 'critical company tool' could be misread by a non-specialist as a 'critical or important function' in the DORA sense. The document never disclaims TLPT applicability, and the Execution phases (Reconnaissance, Exploit, Escalation) read like a kill-chain, which could be cited externally as if it were TLPT evidence.","An explicit statement that Threat Scenarios are an internal control-validation activity, not TLPT, and that TLPT obligations under DORA Art.26 / TIBER-EU are met through the Exercise process when applicable. This avoids the audit risk of the doc being misread or selectively quoted.","DORA-TLPT:DORA Art.26 (general) — distinction between resilience testing and TLPT (Cited from memory; verify against the live regulation text.); TIBER-EU:TIBER-EU v2 (general) — anti-misalignment: stealth-free walk-through is not TLPT","Add a single 'Regulatory positioning' sentence in the Introduction: Threat Scenarios are internal control validation, not TLPT; TLPT-scoped activity follows the Exercise process. Cross-reference Exercises and Operations process documents.","S","Red team lead with Compliance","low"
"lifecycle-operations-001","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-operations-001","inputs/Engagements/1. Operations/Operations_Process_v1.0.docx","engagement-sop","operation","Red Team Test / Initial Foothold","high","completeness-gap","Operation execution flow lacks the assumed-breach setup phase","This phase involves gaining the initial access or foothold into the target system or network. It typically starts with reconnaissance and vulnerability scanning, followed by exploiting a vulnerability or utilizing a social engineering technique to gain access.","An Operation should start from an assumed-breach foothold provisioned by the white team, then execute pre-defined scenarios toward the objective; full external initial access is the Exercise shape, not the Operation shape.","PTES:PTES Pre-engagement Interactions / Exploitation (PTES anchors the phase distinction; the Operations shape per Euronext taxonomy is assumed-breach scenario execution.)","Add an explicit 'Assumed-Breach Setup' phase before Initial Foothold (or replace Initial Foothold) that describes how the WT provisions the foothold, how scenarios are defined up front, and how scenario-driven execution differs from full kill-chain emulation.","M","Red team lead","high"
"lifecycle-operations-002","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-operations-002","inputs/Engagements/1. Operations/Operations_Process_v1.0.docx","engagement-sop","operation","Research & Preparation / CODENAME","high","naming-convention","Codename convention does not require the fictional-character theme","Before starting the next phase, the RT it is required to choose a unique codename for the operation to maintain confidentiality and track the operation internally. The codename should not reveal any information about the target or the techniques being used, to ensure that only authorized personnel have access to the codename and associated documentation.","For Operations, the codename theme must be known fictional characters (movies / TV / books) per the Euronext convention; the SOP should state this explicitly.","OTHER:Euronext red team codename convention (placeholder for internal taxonomy reference) (Convention recorded in schemas/engagement-types.md; awaiting internal taxonomy id.)","Update the CODENAME section to state that Operation codenames must be drawn from known fictional characters (movies / TV / books), with examples and a register of used names to avoid collisions.","S","Red team lead","high"
"lifecycle-operations-004","engagement-lifecycle-review; tiber-dora-alignment","engagement-lifecycle-review; tiber-dora-alignment","lifecycle-operations-004; lifecycle-operations-005; lifecycle-operations-006; tdora-operations-004","inputs/Engagements/1. Operations/Operations_Process_v1.0.docx","engagement-sop","operation","Closure","high","completeness-gap","No threat-hunt handover from red findings","<missing>","Closure should describe how each red finding (TTP, IoC, behavioural signal) is converted into a hunt hypothesis and handed to the threat-hunt function for retro and forward-looking sweeps.","TIBER-EU:TIBER-EU v2 Closure / knowledge sharing; MITRE-ATTACK:ATT&CK technique-to-detection / hunt mapping; PTES:PTES Post-Engagement / remediation; TIBER-EU:TIBER-EU v2 Closure / remediation planning; PTES:PTES Post-Engagement / lessons learned; TIBER-EU:TIBER-EU v2 Closure phase artefacts (Cited from memory.); DORA:DORA operational resilience testing (general) (Cited from memory; verify which DORA articles apply to non-TLPT testing evidence.)","Add a Threat-Hunt Handover step in Closure: a structured artefact (per-TTP hunt hypothesis, data sources, expected telemetry, time horizon) that is delivered to the hunt team and tracked to closure.","M","Red team lead / Threat hunt","high"
"lifecycle-operations-008","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-operations-008","inputs/Engagements/1. Operations/Operations_Process_v1.0.docx","engagement-sop","operation","Introduction","high","scope-gap","Physical scope is mentioned in passing but never explicitly scoped or made optional","It's to simulate Threat Actors Tactics, Techniques and Procedures (TTPs), that include a blended approach (Social Engineering, physical intrusion, application/network pentest)  to reach the pre-defined objective.","The SOP should state explicitly whether physical intrusion is in or out of scope for an Operation, and if in scope point to the physical/social process and questionnaire.","OSSTMM:OSSTMM Physical Security Testing; PTES:PTES Intelligence Gathering / Physical","Add a Scope subsection that explicitly addresses cyber + physical: state default in/out of scope, link to the Physical/Social process and questionnaire, and require the RoE to record physical scope per engagement.","S","Red team lead","high"
"tdora-operations-002","tiber-dora-alignment","tiber-dora-alignment","tdora-operations-002","inputs/Engagements/1. Operations/Operations_Process_v1.0.docx","engagement-sop","operation","Teams & Responsibilities / White Team","high","regulatory-misalignment","'White Team' role conflates TIBER-EU White Team and Control Team responsibilities","Link between the RT and the BT, and consists of employees who can escalate and de-escalate with both teams. Informed of all attacks by the Red Team and is mandated to start, stop and approve attacks.","Under TIBER-EU v2, the Control Team (CT) owns the test (start/stop/approve, scope, kill-switch) and the White Team (WT) is the small group of staff at the institution who are aware. They are distinct. If Operations are NOT TLPT, the SOP should still avoid using TIBER-EU terminology in a way that contradicts the framework, so that the same vocabulary works for an Exercise that IS run as TLPT.","TIBER-EU:TIBER-EU v2 actors: Control Team vs White Team (Cited from memory; verify exact role definitions in TIBER-EU v2.); DORA-TLPT:DORA RTS on TLPT (general) - control team (RTS on TLPT (Article on roles) requires a named control team distinct from the blue team.)","Either (a) introduce a separate Control Team role with the start/stop/approve authority and reduce White Team to the awareness/communication role per TIBER-EU, or (b) add a glossary note that this SOP uses 'White Team' as a combined CT+WT role for internal Operations and that for TLPT-aligned engagements the two roles are split. Verify TIBER-EU role definitions against the live framework.","M","Red team lead / Risk-Compliance","low"
"lifecycle-exercises-003","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-exercises-003","inputs/Engagements/2. Exercises/Exercises_Process_v1.1.docx","engagement-sop","exercise","CODENAME","high","naming-convention","Codename convention does not require the fictional-character theme","'Before starting the next phase, the RT it is required to choose a unique codename for the operation to maintain confidentiality and track the operation internally. The codename should not reveal any information about the target or the techniques being used'. No mention of the Euronext convention that Exercise codenames be drawn from known fictional characters (movies / TV / books).","The doc should state explicitly that Exercise codenames must be drawn from a 'known fictional characters' theme (movies, TV, books) per the Euronext red team convention, and that the chosen codename must be recorded in the engagement register.","OTHER:Euronext red team naming convention (codename + fictional-character theme) (Internal taxonomy placeholder; convention captured in schemas/engagement-types.md.)","Update the CODENAME section to require codenames drawn from known fictional characters (movies, TV, books), and to be logged in the engagement register. Provide one or two illustrative examples.","S","Red team lead","high"
"lifecycle-exercises-004","engagement-lifecycle-review; tiber-dora-alignment","engagement-lifecycle-review; tiber-dora-alignment","lifecycle-exercises-004; tdora-exercises-008","inputs/Engagements/2. Exercises/Exercises_Process_v1.1.docx","engagement-sop","exercise","Initiation; Requirements","high","scope-gap","Physical scope not explicitly addressed (in or out of scope)","Physical intrusion is referenced only in the Red Teaming definition ('blended approach (Social Engineering, physical intrusion, application/network pentest)') and the Introduction. The Initiation, Requirements, and RoE-related text never confirm whether physical scope is in-scope, out-of-scope, or addressed via a separate authorization.","The Initiation / Requirements / RoE section must explicitly state whether physical scope (premises, badge cloning, tailgating, dropped devices) is in scope, partially in scope, or out of scope, with rationale and any extra authorizations required.","OSSTMM:OSSTMM 3 Physical Security Testing (PHYSSEC); PTES:PTES Pre-engagement Interactions (scope); DORA-TLPT:DORA Art.26(2)-(3) (scope, critical or important functions, live production) (Cited from memory; verify against live regulation text.)","Add an explicit 'Physical scope' subsection under Initiation/Requirements. Default to 'must be agreed in writing as in or out of scope per exercise' and list the additional authorizations required if in scope (facilities, HR, building security).","S","Red team lead + Legal/Risk + Facilities","high"
"lifecycle-exercises-008","engagement-lifecycle-review","engagement-lifecycle-review","lifecycle-exercises-008","inputs/Engagements/2. Exercises/Exercises_Process_v1.1.docx","engagement-sop","exercise","Initiation","high","ambiguity","Initiation phase blurs scoping and authorization, lacks engagement letter / RoE sign-off gate","'The output of this Phase should be a clearly defined the scope and limitations of the engagement... include any restrictions on techniques, tools, or attack vectors and the respective locations where these are prohibited.' The Initiation phase is described prose-style; there is no explicit gate (signed engagement letter / RoE) before Targeted TI begins.","Initiation should produce a signed engagement letter and signed RoE as deliverables, and the next phase (Targeted TI) should be gated on those signatures.","PTES:PTES Pre-engagement Interactions; TIBER-EU:TIBER-EU v2 Preparation phase (Engagement letter, scoping document)","Restructure Initiation around named deliverables: scoping document + engagement letter + signed RoE. Make 'all three signed' a hard gate before Targeted TI commences.","M","Red team lead + Legal/Risk","high"
