finding_id,evaluator(s),merged_from_ids,artefact,engagement_type,doc_type,section_ref,severity,category,title,evidence_observation,evidence_expected,framework_refs,recommendation,effort,owner_hint,confidence,theme
lifecycle-rtdeckv10-001,engagement-lifecycle-review,,inputs/Methodology/RedTeaming_v1.0.pptx,cross-cutting,methodology,overall,high,internal-inconsistency,RedTeaming_v1.0.pptx is content-identical to RedTeaming_v0.4.pptx minus the Scheduling chapter — likely older / shorter twin,"diff shows v1.0 differs from v0.4 only by removal of agenda lines 'Scheduling / Phases of RT Process / Teams Composition & Duties / Detailed Phases / Complete Schedule'. All scheduling slides (10-15) are still present in v1.0, but they are no longer announced in the agenda. Filename version (v1.0) is HIGHER than v0.4 yet content is LESS complete.","Either (a) the two decks are different artefacts that should be clearly named and version-differentiated (e.g. 'RedTeaming_Exec_Overview_v1.0' for the exec-summary cut), or (b) v1.0 is a stale duplicate and should be retired in favour of v0.4. The current state confuses the corpus and triggers the input-selection rule ('analyse only the highest version') incorrectly.",OTHER:Internal corpus consistency / Input selection rule,"Rename one of the two decks to disambiguate (purpose-suffix), or retire the duplicate. Recommend treating the more-complete v0.4 as canonical until a refreshed v1.x deck is authored from the methodology v0.8 source.",S,Red team lead,high,apts-tlpt-attestation
lifecycle-bh-003,engagement-lifecycle-review,,inputs/Methodology/docs/BloodHoundEnterprise_Process_v0.5.docx,cross-cutting,methodology,Access Management / 'fully managed by AET',high,ambiguity,AET role referenced but not defined in this doc or any engagement SOP,"'Access to Euronext BloodHound tenant is fully managed by AET, and access to it is restricted to members of the team.'","AET (Assessment & Exploitation Team) is on the corpus orphan-actor list (references/corpus_vocabulary.yaml). Either define AET in this doc or in the methodology, and clarify the relationship to the Red Team.",OTHER:Internal corpus consistency (references/corpus_vocabulary.yaml orphan_actors §AET),Either expand AET on first use in this doc or in RedTeam_Methodology Glossary.,S,Red team lead,high,naming-acronym-drift
lifecycle-rtmeth-004,engagement-lifecycle-review,,inputs/Methodology/docs/RedTeam_Methodology_v0.8.docx,cross-cutting,methodology,overall,high,completeness-gap,"Adjacent-remit work (threat hunting at close-out, during external engagements, during live incidents) is not described","Methodology lists OPSEC, OPLOGS, Threat Planning, Scoping — but does not describe the team's role in: (a) post-engagement threat hunting, (b) supporting external red-team exercises run against Euronext, (c) supporting live incident response. References/corpus_vocabulary.yaml flags these as in-scope for the team's actual remit.","Methodology should have an 'Adjacent Responsibilities' section covering these three activities, even if briefly, so the team's broader role is regulator-defensible.",DORA:DORA Art.17/24 (general) — incident management and operational-resilience testing; OTHER:schemas/engagement-types.md §Adjacent team responsibilities,"Add an 'Adjacent Responsibilities' section describing threat-hunt close-out, external-engagement support and incident-response support.",M,Red team lead,high,threat-hunt-ir-soc-handover
tdora-rtmeth-002,tiber-dora-alignment,,inputs/Methodology/docs/RedTeam_Methodology_v0.8.docx,cross-cutting,methodology,overall,high,completeness-gap,No Control Team / TI Provider / Lead Overseer references anywhere in the methodology,"Methodology lists Red Team, Blue Team, White Team and Threat Intelligence — but no Control Team, no TIBER Cyber Team, no lead-overseer / competent-authority engagement.","Even for an internal-by-default methodology, the role taxonomy that applies when an engagement is escalated to TLPT should be documented so it can be invoked without re-writing the methodology.","TIBER-EU:TIBER-EU v2 — actors taxonomy; DORA-TLPT:DORA Art.27 + RTS on TLPT — Control Team, TI Provider (verify live text)","Add a 'TLPT role mapping' subsection naming TCT, CT, TI Provider, RT Provider, WT and the financial entity, with notes on how each maps to existing Euronext teams.",M,Red team lead / Legal-Risk,medium,tiber-dora-regulatory-mapping
tdora-rtmeth-001,tiber-dora-alignment,,inputs/Methodology/docs/RedTeam_Methodology_v0.8.docx,cross-cutting,methodology,Introduction (Exercises paragraph),high,regulatory-misalignment,Exercises described as 'well-planned and aligned with TIBER-EU' but methodology never expands what that alignment entails,"'Red Team Exercises, are full Red Team engagements, well-planned and aligned with TIBER-EU. They are design to mimic a specific Threat Actor TTPs...'","If the methodology claims TIBER-EU alignment, it should name the four TIBER-EU v2 phases (Preparation, Threat Intelligence, Red Team Test, Closure) and the regulator-mandated actors (TIBER Cyber Team, Control Team, TI Provider, RT Provider, White Team). Currently this claim is unsupported in the body.",TIBER-EU:TIBER-EU v2 — phases and actors; DORA-TLPT:DORA Art.26-27 + RTS on TLPT (verify live text),"Add a 'Regulatory Mapping' section explaining TIBER-EU and DORA TLPT alignment: the four TIBER-EU phases, the regulator-mandated actors, when an Exercise qualifies as TLPT, and what additional artefacts must be produced. Verify clause references against live regulation.",L,Red team lead / Legal-Risk,high,tiber-dora-regulatory-mapping
lifecycle-aptsdossier-005,engagement-lifecycle-review,,inputs/APTs/APTs_private.pptx,cross-cutting,research-process,Slide 8 (Main Topics Identified),medium,ambiguity,Sensitive findings recorded in deck slide rather than a tracked remediation backlog,"Slide 8 records action items ('No ETA for now', 'SSH keys ... 1st plan for ssh keys in tools team') without owner, target date or remediation tracking ID.","Per Purple Teaming Process v0.1 Outputs & Tracking section, every gap should produce a remediation-backlog entry with named owner, severity and target date in the tracking forum (RT Research Repository or security risk register).",OTHER:Purple Teaming Process v0.1 §Outputs & Tracking,Migrate slide-8 items into the tracking forum chosen by the Purple Teaming process and reference Jira/Confluence IDs from this slide.,S,Red team lead,high,purple-team-closeout-residuals
lifecycle-aptsdossier-002,engagement-lifecycle-review,,inputs/APTs/APTs_private.pptx,cross-cutting,research-process,Slides 9-11 (Operation post-mortems),medium,completeness-gap,Operation post-mortems (Phantom Signature / Crimson Breach / Fight Club) lack purple-team and threat-hunt handover artefacts,"Each operation slide ends with 'Next steps – consolidate change management CIs and Inerente Assets on Applicantion & Components' but does not capture (a) detection-vs-action map, (b) hunt-hypothesis list, (c) named remediation owners, or (d) Purple Team close-out evidence required by Purple_Teaming_Process_v0.1.docx.","Each operation summary should link to the close-out artefact set defined by the Purple Teaming Process — detection-vs-action map, gap register, hunt-hypothesis list, OFI register, remediation backlog.",PTES:PTES Post Exploitation / Reporting; MITRE-ATTACK:ATT&CK-based reporting,"Either (a) link each operation slide to its Purple Team close-out output set, or (b) refactor the dossier so operation post-mortems live in a separate engagement-results register and are not interleaved with threat-actor reference material.",M,Red team lead,high,purple-team-closeout-residuals
tdora-aptsdossier-003,tiber-dora-alignment,,inputs/APTs/APTs_private.pptx,cross-cutting,research-process,Slides 9-11 (Operation post-mortems),medium,regulatory-misalignment,"Operation post-mortems lack DORA-style closure artefacts (test summary, attestation, regulator notification)","Phantom Signature, Crimson Breach and Fight Club operation slides describe objective, conclusion and a single 'Next steps' note — no test summary report, no joint attestation, no remediation tracking IDs, no record of competent-authority engagement.","If any of these operations were treated as TLPT, DORA Art.26 + RTS on TLPT closure requirements apply: test report, remediation plan, attestation to the lead overseer / competent authority, and mutual-recognition handling. If they are internal Operations only (not TLPT), the 'TLPT RED' banner should be removed.","DORA-TLPT:DORA Art.26 (general) — closure artefacts and authority engagement; TIBER-EU:TIBER-EU v2 — Closure (test report, attestation)","Clarify the regulatory status of each historical operation; for any that should have been TLPT, retrospectively capture the test report and attestation. Verify wording against the live DORA RTS on TLPT.",L,Red team lead / Legal-Risk,low,tiber-dora-regulatory-mapping
lifecycle-threatscenarios-005,engagement-lifecycle-review,,inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.6.docx,threat-scenario,engagement-sop,Scope / Execution,medium,scope-gap,Physical scope not explicitly addressed (in or out),"Scope section talks about 'authorized targets, systems, networks, or applications' and Threat Actors are 'malicious insiders' — physical scope is neither in scope nor explicitly excluded.","Each engagement SOP should explicitly mark physical scope as in-scope or out-of-scope with rationale (a Threat Scenario walkthrough on a server-room access control would be in scope, for example).",OSSTMM:OSSTMM §Physical Security testing,Add one sentence in Scope stating that physical attacks are usually out of scope for Threat Scenarios (handled by PhysicalSocial_Process) unless the abused tool has a physical-access dimension.,S,Red team lead,high,naming-acronym-drift
lifecycle-threatscenarios-006,engagement-lifecycle-review,,inputs/Engagements/0. Threat Scenarios/docs/ThreatScenarios_Process_v1.6.docx,threat-scenario,engagement-sop,Closure,medium,completeness-gap,Lessons-learned capture mechanism implicit — needs a concrete output target,"Closure mentions OFIs and the report but does not name where lessons-learned are captured for future scenarios (RT Research Repository, Confluence page, Jira label).",Closure should explicitly route lessons-learned into a tracked store — e.g. RT Research Repository entry with a 'lessons-learned' tag.,PTES:PTES Reporting — lessons learned,Add a line to Closure: 'Lessons-learned must be filed in the RT Research Repository under the engagement codename with the lessons-learned tag.',S,Red team lead,medium,apts-tlpt-attestation
lifecycle-operations-004,engagement-lifecycle-review,,inputs/Engagements/1. Operations/docs/Operations_Process_v1.5.docx,operation,engagement-sop,Research & Preparation,medium,scope-gap,Physical scope not explicitly addressed in Operations SOP,"Introduction mentions 'a blended approach (Social Engineering, physical intrusion, application/network pentest)' but Research & Preparation, RT Test and Closure do not name physical scope decisions, controls or handovers.","If physical attacks are in scope of an Operation, the SOP should cross-reference PhysicalSocial_Process v1.3 (Get-out-of-jail letter, Local CISO/Facilities involvement) or otherwise mark physical as out-of-scope by default.",OSSTMM:OSSTMM §Physical Security,"Add a sentence in Research & Preparation: 'If the Operation has a physical dimension, the PhysicalSocial_Process must be followed in parallel and a Get-out-of-jail letter prepared.'",S,Red team lead,high,purple-team-closeout-residuals
lifecycle-operations-005,engagement-lifecycle-review,,inputs/Engagements/1. Operations/docs/Operations_Process_v1.5.docx,operation,engagement-sop,Teams & Responsibilities,medium,completeness-gap,Threat Intelligence Team not listed in Teams & Responsibilities (asymmetry with Exercises SOP),"Operations v1.5 lists RT, BT, WT only. Research & Preparation references 'the TI team', but TI is not defined as a participating team. Exercises_Process v1.6 by contrast has a dedicated Threat Intelligence Team (TI) entry.","Either (a) add a TI entry consistent with Exercises_Process v1.6, or (b) explicitly note that for Operations, TI work is performed inside the Red Team (no separate team) — both options resolve the cross-doc RACI conflict noted in references/corpus_vocabulary.yaml.",OTHER:Internal RACI consistency (references/corpus_vocabulary.yaml raci §Threat Intelligence work),Clarify TI team status in Operations Teams & Responsibilities to match the curated RACI.,S,Red team lead,high,general-process-quality
lifecycle-operations-007,engagement-lifecycle-review,,inputs/Engagements/1. Operations/docs/Operations_Process_v1.5.docx,operation,engagement-sop,Closure,medium,completeness-gap,Threat-hunt handover delegated to Purple Team close-out — could be explicit,Closure references 'hunt-hypothesis list for the SOC' inside the Purple Team Close-Out subsection. There is no separate threat-hunt handover step (e.g. delivery to the threat-hunt function and SLA).,"An explicit threat-hunt handover step (recipient, deliverable, response SLA) prevents the hypothesis list from sitting in the close-out artefact and not being actioned.",PTES:PTES Reporting / post-engagement actions,"Add a 'Threat-Hunt Handover' subsection naming the recipient (SOC threat-hunt function), the deliverable (hunt-hypothesis list) and a target acknowledgement SLA.",S,Red team lead / Threat hunt,medium,purple-team-closeout-residuals
tdora-operations-002,tiber-dora-alignment,,inputs/Engagements/1. Operations/docs/Operations_Process_v1.5.docx,operation,engagement-sop,Research & Preparation / Data Handling,medium,completeness-gap,Data-handling rules present but GDPR / DORA wording not explicit,"Data Handling enumerates PIA, medical, justice, regulated data categories and a halt-on-encounter process, but does not name the legal basis (GDPR Art.6/9) nor any DORA risk-management-of-the-test reference.","For audit-defensibility, the section should anchor sensitive-data handling to GDPR (legal basis) and to DORA Chapter IV operational-resilience-testing risk-management.",DORA:DORA Art.6/24 (general) — ICT risk management; testing risk controls; OTHER:GDPR Art.6 / Art.9 (general) — legal basis for processing sensitive data,Add a one-line reference to GDPR legal basis and DORA risk-management-of-test obligations in Data Handling. Verify clause references against live regulation text.,S,Legal-Risk,low,tiber-dora-regulatory-mapping
lifecycle-exercises-004,engagement-lifecycle-review,,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Phases Description / Initiation,medium,scope-gap,Physical scope not explicitly addressed in Exercises SOP,"Introduction mentions 'a blended approach (Social Engineering, physical intrusion, application/network pentest)' but no phase names physical-scope decisions or handovers to PhysicalSocial_Process.","Initiation should explicitly include physical scope (in / out) and, when in scope, defer to PhysicalSocial_Process v1.3 for execution-side controls (Get-out-of-jail letter, Local CISO/Facilities involvement).",OSSTMM:OSSTMM §Physical Security; TIBER-EU:TIBER-EU v2 — scoping (cyber and physical critical functions),"Add a one-line entry in Initiation Phase outputs: 'Physical scope decision (in / out) — when in scope, follow PhysicalSocial_Process v1.3 in parallel.'",S,Red team lead,high,purple-team-closeout-residuals
lifecycle-exercises-005,engagement-lifecycle-review,lifecycle-exercises-005; lifecycle-exercises-006,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Closure,medium,completeness-gap,Threat-hunt handover only implicit (inside Purple Team close-out artefacts),Closure does not have a standalone threat-hunt handover step — only the hunt-hypothesis list inside the Purple Team close-out is mentioned.,"An explicit handover step (recipient, deliverable, response SLA) prevents the hypothesis list from sitting in the close-out artefact without being actioned.",PTES:PTES Reporting; PTES:PTES Reporting — lessons learned,"Add a 'Threat-Hunt Handover' subsection naming the recipient, deliverable and SLA — mirrors recommendation in Operations finding.",S,Red team lead / Threat hunt,medium,purple-team-closeout-residuals
tdora-exercises-003,tiber-dora-alignment,,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Phases Description / Targeted Threat Intelligence,medium,regulatory-misalignment,TTI phase performed by 'the RT team' — RTS on TLPT requires independent TI provider for TLPT,"'During this phase, the RT team focuses on gathering information about emerging and current threats, tactics, techniques, and procedures (TTPs) employed by threat actors... Once the analysis is complete, the RT team shares the findings with the WT.'","When the Exercise is run as TLPT, the TTI report must be authored by an independent TI provider (separate from the RT provider) per DORA Art.27 + RTS on TLPT.",TIBER-EU:TIBER-EU v2 §Threat Intelligence — Targeted Threat Intelligence (TTI) authored by TI provider; DORA-TLPT:DORA Art.27 + RTS on TLPT — TI provider independence (verify live text),Add a 'When run as TLPT' callout: 'the Targeted Threat Intelligence report is authored by an independent TI provider distinct from the Red Team provider; the internal RT may participate in scoping and review only.',S,Red team lead / Legal-Risk,medium,tiber-dora-regulatory-mapping
tdora-exercises-004,tiber-dora-alignment,,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Teams & Responsibilities,medium,ambiguity,White Team and Control Team conflated — TIBER-EU treats them as distinct roles,"White Team is described as: 'Link between the RT and the BT... Determining if, when and what information is shared with BT.' For an internal Exercise this collapses TIBER-EU's WT (broader oversight) and CT (small named-individual ownership of the test) into a single team.","When TLPT-aligned, distinguish the Control Team (small, named individuals inside the institution who own the test) from the White Team (broader oversight). RTS on TLPT requires CT to be small and distinct.",TIBER-EU:TIBER-EU v2 — Control Team vs White Team; DORA-TLPT:RTS on TLPT — Control Team definition (verify live text),Add a paragraph distinguishing CT (TLPT-mode) from WT (internal-mode). Note this is terminology drift not yet a regulatory breach — flag at low/medium until TLPT is actually scoped.,S,Red team lead,low,tiber-dora-regulatory-mapping
tdora-exercises-006,tiber-dora-alignment,,inputs/Engagements/2. Exercises/docs/Exercises_Process_v1.6.docx,exercise,engagement-sop,Phases Description (overall),medium,completeness-gap,No Generic Threat Landscape (GTL) reference in Preparation,Initiation and Targeted Threat Intelligence describe a TTI process but never reference the TIBER-EU Generic Threat Landscape (GTL) which feeds the TTI.,TIBER-EU v2 Preparation phase consumes a GTL (jurisdiction-level) and uses it to derive TTI.,TIBER-EU:TIBER-EU v2 §Preparation — Generic Threat Landscape consumption,Add a sentence in Initiation referencing the relevant GTL (e.g. TIBER-NL / TIBER-BE GTL as appropriate for the jurisdiction).,S,Threat intel,medium,tiber-dora-regulatory-mapping
lifecycle-purpleteam-002,engagement-lifecycle-review,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,Phases / Outputs & Tracking,medium,ambiguity,Tracking forum left generic ('typically the Red Team Research Repository or the security risk register'),'Confirm the tracking forum where remediation actions will be logged (typically the Red Team Research Repository or the security risk register; record this decision in the workshop output.).',v1.0 should pin a single forum (or two clear forks: 'Red-team-owned remediations go in RT Research Repository; cross-team go in security risk register').,OTHER:Internal corpus consistency,Pin forum at v1.0 once the Red Team Research Repository / security risk register split is agreed with risk function.,S,Red team lead / Legal-Risk,high,naming-acronym-drift
lifecycle-purpleteam-003,engagement-lifecycle-review,,inputs/Engagements/3. Purple Teaming/docs/Purple_Teaming_Process_v0.1.docx,cross-cutting,engagement-sop,Teams & Responsibilities,medium,completeness-gap,Only two teams listed (RT and BT) — Threat Hunt function not given a role despite hunt-hypothesis output,'Hunt-hypothesis list: actionable hypotheses for the SOC and Threat Hunt function...' but Teams & Responsibilities lists only RT and BT.,"Either (a) name a Threat Hunt sub-role inside BT (with the responsibility for consuming the hypothesis list), or (b) add a third entry for Threat Hunt / SOC.",PTES:PTES Reporting / post-engagement,Add a sentence in Teams & Responsibilities clarifying which role on the BT side owns the hunt-hypothesis list and the consumption SLA.,S,Red team lead / Threat hunt,high,threat-hunt-ir-soc-handover
